"STATEFIP","avg_mhd","stname","stusps"
"1",1.38948588850361,"Alabama"," AL"
"2",1.11485484212757,"Alaska"," AK"
"4",1.43191002883932,"Arizona"," AZ"
"5",0.959925829574074,"Arkansas"," AR"
"6",1.11071515767717,"California"," CA"
"8",1.37302969243052,"Colorado"," CO"
"9",0.68874404933065,"Connecticut"," CT"
"10",1.11403346298697,"Delaware"," DE"
"11",0.682800427909188,"District of Columbia"," DC"
"12",0.902203215972955,"Florida"," FL"
"13",1.6725165003899,"Georgia"," GA"
"15",1.21478987946574,"Hawaii"," HI"
"16",0.542627487152457,"Idaho"," ID"
"17",1.40292879370309,"Illinois"," IL"
"18",1.69054640069384,"Indiana"," IN"
"19",1.03972678938722,"Iowa"," IA"
"20",1.42468982630273,"Kansas"," KS"
"21",1.56547531956212,"Kentucky"," KY"
"22",0.667291557120322,"Louisiana"," LA"
"24",1.10939894041173,"Maryland"," MD"
"25",0.727216799278156,"Massachusetts"," MA"
"26",1.58200776663448,"Michigan"," MI"
"27",1.79632398537244,"Minnesota"," MN"
"28",1.54045267086499,"Mississippi"," MS"
"29",1.71980028417013,"Missouri"," MO"
"30",1.48682406322455,"Montana"," MT"
"31",1.18135296494142,"Nebraska"," NE"
"32",0.659256440917491,"Nevada"," NV"
"33",0.727336154123154,"New Hampshire"," NH"
"34",1.08492757933847,"New Jersey"," NJ"
"35",1.33187933865791,"New Mexico"," NM"
"36",1.5406422113686,"New York"," NY"
"37",1.37800644552906,"North Carolina"," NC"
"38",1.34374466632531,"North Dakota"," ND"
"39",1.50032916392363,"Ohio"," OH"
"40",1.05342086959472,"Oklahoma"," OK"
"41",1.57353335275269,"Oregon"," OR"
"42",1.03312387272704,"Pennsylvania"," PA"
"44",1.56283263050749,"Rhode Island"," RI"
"45",1.7738108550458,"South Carolina"," SC"
"46",1.26252717535394,"South Dakota"," SD"
"47",0.631189957413093,"Tennessee"," TN"
"48",1.1553379026916,"Texas"," TX"
"49",1.45423480188695,"Utah"," UT"
"50",1.35304239584096,"Vermont"," VT"
"51",1.81053931061193,"Virginia"," VA"
"53",1.04436538317196,"Washington"," WA"
"54",1.18158670597695,"West Virginia"," WV"
"55",1.031440478553,"Wisconsin"," WI"
"56",1.43021603183627,"Wyoming"," WY"
"72",1.26573690162081,NA,NA
"99",0.667057444314185,NA,NA
"23",NA,"Maine"," ME"
